ID Number,Name,League,Team,Season,Birth Year,Position,Draft Year,Draft Position,NHL Team,Games Played,Goals,Assists,Points,PIMs,Points per Game,PIMS per Game,Shooting Percentage
004-07,Fyodor Svechkov,MHL,MHK Spartak Moscow,2022-23,2003,C,2021,19,NSH,5,4,4,8,0,1.6,0,11.4
004-08,Fyodor Svechkov,VHL,Khimik Voskresensk,2022-23,2003,C,2021,19,NSH,14,1,6,7,0,0.5,0,3.7
005-00,Prokhor Poltapov,MHL,Krasnaya Armiya Moscow,2019-20,2003,RW,2021,33,BUF,23,8,4,12,10,0.5217391304,0.4347826087,22.9
005-01,Prokhor Poltapov,KHL,CSKA Moscow,2020-21,2003,RW,2021,33,BUF,1,0,0,0,0,0,0,0
005-02,Prokhor Poltapov,MHL,Krasnaya Armiya Moscow,2020-21,2003,RW,2021,33,BUF,61,25,27,52,30,0.8524590164,0.4918032787,14.8
005-03,Prokhor Poltapov,VHL,Zvezda Chekhov,2021-22,2003,RW,2021,33,BUF,25,3,4,7,8,0.28,0.32,6.8
005-04,Prokhor Poltapov,KHL,CSKA Moscow,2021-22,2003,RW,2021,33,BUF,17,0,0,0,0,0,0,0
005-05,Prokhor Poltapov,MHL,Krasnaya Armiya Moscow,2021-22,2003,RW,2021,33,BUF,13,5,10,15,6,1.153846154,0.4615384615,8.8
005-06,Prokhor Poltapov,VHL,Zvezda Chekhov,2022-23,2003,RW,2021,33,BUF,3,0,1,1,2,0.3333333333,0.6666666667,0
005-07,Prokhor Poltapov,MHL,Krasnaya Armiya Moscow,2022-23,2003,RW,2021,33,BUF,2,1,0,1,2,0.5,1,10
005-08,Prokhor Poltapov,KHL,CSKA Moscow,2022-23,2003,RW,2021,33,BUF,56,5,5,10,37,0.1785714286,0.6607142857,12.8
006-00,Daniil Chayka,OHL,Guelph Storm,2018-19,2002,LHD,2021,38,VGK,56,5,9,14,2,0.25,0.03571428571,7.8
